id,ticker symbol,security,sec filings,gics sector,gics sub industry,address of headquarters,date first added,cik
"173","EL","Estee Lauder Cos.","reports","Consumer Staples","Personal Products","New York, New York","0000-00-00","1001250"
"174","ES","Eversource Energy","reports","Utilities","MultiUtilities","Springfield, Massachusetts","0000-00-00","72741"
"175","EXC","Exelon Corp.","reports","Utilities","MultiUtilities","Chicago, Illinois","0000-00-00","1109357"
"176","EXPE","Expedia Inc.","reports","Consumer Discretionary","Internet & Direct Marketing Retail","Bellevue, Washington","2007-10-02","1324424"
"177","EXPD","Expeditors Int'l","reports","Industrials","Air Freight & Logistics","Seattle, Washington","2007-10-10","746515"
"178","ESRX","Express Scripts","reports","Health Care","Health Care Distributors","Cool Valley, Missouri","2003-09-25","1532063"
"179","EXR","Extra Space Storage","reports","Real Estate","Specialized REITs","Salt Lake City, UT","2016-01-19","1289490"
"180","XOM","Exxon Mobil Corp.","reports","Energy","Integrated Oil & Gas","Irving, Texas","0000-00-00","34088"
"181","FFIV","F5 Networks","reports","Information Technology","Networking Equipment","Seattle, Washington","2010-12-20","1048695"
"182","FB","Facebook","reports","Information Technology","Internet Software & Services","Menlo Park, California","2013-12-23","1326801"
"183","FAST","Fastenal Co","reports","Industrials","Building Products","Winona, Minnesota","2009-09-15","815556"
"184","FRT","Federal Realty Investment Trust","reports","Real Estate","Retail REITs","Rockville, Maryland","2016-02-01","34903"
"185","FDX","FedEx Corporation","reports","Industrials","Air Freight & Logistics","Memphis, Tennessee","1980-12-31","1048911"
"186","FIS","Fidelity National Information Services","reports","Information Technology","Internet Software & Services","Jacksonville, Florida","0000-00-00","1136893"
"187","FITB","Fifth Third Bancorp","reports","Financials","Banks","Cincinnati, Ohio","0000-00-00","35527"
"188","FSLR","First Solar Inc","reports","Information Technology","Semiconductors","Tempe, Arizona","2009-10-16","1274494"
"189","FE","FirstEnergy Corp","reports","Utilities","Electric Utilities","Akron, Ohio","0000-00-00","1031296"
"190","FISV","Fiserv Inc","reports","Information Technology","Internet Software & Services","Brookfield, Wisconsin","0000-00-00","798354"
"191","FLIR","FLIR Systems","reports","Information Technology","Electronic Equipment & Instruments","Wilsonville, Oregon","2009-01-02","354908"
"192","FLS","Flowserve Corporation","reports","Industrials","Industrial Machinery","Irving, Texas","2008-10-02","30625"
"193","FLR","Fluor Corp.","reports","Industrials","Diversified Commercial Services","Irving, Texas","1980-03-31","1124198"
"194","FMC","FMC Corporation","reports","Materials","Diversified Chemicals","Philadelphia, Pennsylvania","2009-08-19","37785"
"195","FTI","FMC Technologies Inc.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","2009-06-05","1135152"
"196","FL","Foot Locker Inc","reports","Consumer Discretionary","Apparel Retail","New York, New York","2016-04-04","850209"
"197","F","Ford Motor","reports","Consumer Discretionary","Automobile Manufacturers","Dearborn, Michigan","0000-00-00","37996"
"198","FTV","Fortive Corp","reports","Industrials","Industrial Machinery","Everett, Washington","2016-07-01","1659166"
"199","FBHS","Fortune Brands Home & Security","reports","Industrials","Building Products","Deerfield, Illinois","2016-06-22","1519751"
"200","BEN","Franklin Resources","reports","Financials","Asset Management & Custody Banks","San Mateo, California","0000-00-00","38777"
"201","FCX","Freeport-McMoran Cp & Gld","reports","Materials","Copper","Phoenix, Arizona","0000-00-00","831259"
"202","FTR","Frontier Communications","reports","Telecommunications Services","Integrated Telecommunications Services","Stamford, Connecticut","0000-00-00","20520"
"203","GPS","Gap (The)","reports","Consumer Discretionary","Apparel Retail","San Francisco, California","1986-08-31","39911"
"204","GRMN","Garmin Ltd.","reports","Consumer Discretionary","Consumer Electronics","Schaffhausen, Switzerland","2012-12-12","1121788"
"205","GD","General Dynamics","reports","Industrials","Aerospace & Defense","Falls Church, Virginia","0000-00-00","40533"
"206","GE","General Electric","reports","Industrials","Industrial Conglomerates","Fairfield, Connecticut","0000-00-00","40545"
"207","GGP","General Growth Properties Inc.","reports","Real Estate","Retail REITs","Chicago, Illinois","2013-12-10","895648"
"208","GIS","General Mills","reports","Consumer Staples","Packaged Foods & Meats","Golden Valley, Minnesota","1969-03-31","40704"
"209","GM","General Motors","reports","Consumer Discretionary","Automobile Manufacturers","Detroit, Michigan","2013-06-06","1467858"
"210","GPC","Genuine Parts","reports","Consumer Discretionary","Specialty Stores","Atlanta, Georgia","1973-12-31","40987"
"211","GILD","Gilead Sciences","reports","Health Care","Biotechnology","Foster City, California","0000-00-00","882095"
"212","GPN","Global Payments Inc","reports","Information Technology","Data Processing & Outsourced Services","Atlanta, Georgia","2016-04-25","1123360"
"213","GS","Goldman Sachs Group","reports","Financials","Investment Banking & Brokerage","New York, New York","0000-00-00","886982"
"214","GT","Goodyear Tire & Rubber","reports","Consumer Discretionary","Tires & Rubber","Akron, Ohio","0000-00-00","42582"
"215","GWW","Grainger (W.W.) Inc.","reports","Industrials","Industrial Materials","Lake Forest, Illinois","1981-06-30","277135"
"216","HAL","Halliburton Co.","reports","Energy","Oil & Gas Equipment & Services","Houston, Texas","0000-00-00","45012"
"217","HBI","Hanesbrands Inc","reports","Consumer Discretionary","Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina","2015-03-20","1359841"
"218","HOG","Harley-Davidson","reports","Consumer Discretionary","Motorcycle Manufacturers","Milwaukee, Wisconsin","0000-00-00","793952"
"219","HAR","Harman Int'l Industries","reports","Consumer Discretionary","Consumer Electronics","Stamford, Connecticut","0000-00-00","800459"
"220","HRS","Harris Corporation","reports","Information Technology","Telecommunications Equipment","Melbourne, Florida","2008-09-22","202058"
"221","HIG","Hartford Financial Svc.Gp.","reports","Financials","Property & Casualty Insurance","Hartford, Connecticut","0000-00-00","874766"
"222","HAS","Hasbro Inc.","reports","Consumer Discretionary","Leisure Products","Pawtucket, Rhode Island","1984-09-30","46080"
"223","HCA","HCA Holdings","reports","Health Care","Health Care Facilities","Nashville, Tennessee","2015-01-27","860730"
"224","HCP","HCP Inc.","reports","Real Estate","REITs","Long Beach, California","2008-03-31","765880"
"225","HP","Helmerich & Payne","reports","Energy","Oil & Gas Drilling","Tulsa, Oklahoma[5]","0000-00-00","46765"
"226","HSIC","Henry Schein","reports","Health Care","Health Care Distributors","Melville, New York","2015-03-17","1000228"
